genre,movie,year,score,people
豆瓣电影标签：爱情,"
                        天空之城
                        / Tenkû no shiro Rapyuta / Laputa: Castle in the Sky
",1986,9.0,324401
豆瓣电影标签：爱情,"
                        我可能不会爱你
                        / In Time With You / イタズラな恋愛白書
",2012,8.9,127179
豆瓣电影标签：爱情,"
                        贫民窟的百万富翁
                        / 贫民百万富翁(台) / 一百万零一夜(港)
",2009,8.5,380773
豆瓣电影标签：爱情,"
                        我脑中的橡皮擦
                        / 我脑海中的橡皮擦 / 拥抱这分钟(港)
",2004,7.8,146330
豆瓣电影标签：爱情,"
                        遇见王沥川
                        / 沥川往事 / Remembering Lichuan
",2016,8.4,31724
豆瓣电影标签：爱情,"
                        举重妖精金福珠
                        / Yeokdoyojeong Gim Bokju
",2016,8.5,27595
豆瓣电影标签：爱情,"
                        北京遇上西雅图之不二情书
                        / 北京遇上西雅图2 / Finding Mr. Right 2
",2016,6.5,145958
豆瓣电影标签：爱情,"
                        重返20岁
                        / 重返二十岁 / 奇怪的她中国版
",2015,7.2,175282
豆瓣电影标签：爱情,"
                        山楂树之恋
                        / 山楂树 / Under the Hawthorn Tree
",2010,6.6,179917
豆瓣电影标签：爱情,"
                        东邪西毒
                        / Ashes of Time
",1994,8.6,237123
豆瓣电影标签：爱情,"
                        大鱼海棠
                        / 大海 / 大·海
",2016,6.5,218805
豆瓣电影标签：爱情,"
                        面纱
                        / 爱在遥远的附近(港) / 猜心(台)
",2006,8.2,89662
豆瓣电影标签：爱情,"
                        万物理论
                        / 霍金：爱的方程式(港) / 爱的万物论(台)
",2015,8.1,107740
豆瓣电影标签：爱情,"
                        爱恋
                        / 性本爱(台) / 劲凹3D(港)
",2015,6.5,11195
豆瓣电影标签：爱情,"
                        我爱你
                        / 爱你 / Late Blossom
",2011,9.0,50959
豆瓣电影标签：爱情,"
                        摆渡人
                        / 酒国英雄之摆渡人 / 摆渡之人
",2016,4.0,138814
豆瓣电影标签：爱情,"
                        夏天19岁的肖像
                        / 夏天十九岁的肖像 / 夏天，十九岁的肖像
",2017,4.9,4953
豆瓣电影标签：爱情,"
                        弗兰兹
                        / 爱的替身(港) / 双面法兰兹(台)
",2016,8.2,8731
豆瓣电影标签：爱情,"
                        溺水小刀
                        / Drowning Love
",2016,7.2,8974
豆瓣电影标签：爱情,"
                        饮食男女
                        / Eat Drink Man Woman
",1994,9.0,186040
豆瓣电影标签：爱情,"
                        幸福终点站
                        / 机场客运站(港) / 航站情缘(台)
",2005,8.6,216349
豆瓣电影标签：爱情,"
                        初吻
                        / 第一次接触 / IQ半熟时
",1980,8.0,46433
豆瓣电影标签：爱情,"
                        来自星星的你
                        / 从星星来的你 / 来自星星的男人
",2013,8.3,138376
豆瓣电影标签：爱情,"
                        天堂电影院
                        / 星光伴我心(港) / 新天堂乐园(台)
",1988,9.1,304005
豆瓣电影标签：爱情,"
                        男与女
                        / 雪国恋人(港) / 关不住的诱惑(台)
",2016,7.9,24192
豆瓣电影标签：爱情,"
                        血肉之躯
                        / 热血丧男(港) / 殭尸哪有那么帅(台)
",2013,7.3,69225
豆瓣电影标签：爱情,"
                        七日的王妃
                        / 7日的王妃 / 7-day princess
",2017,7.8,993
豆瓣电影标签：爱情,"
                        人鬼情未了
                        / 第六感生死恋 / 生死第六感
",1990,8.2,133512
豆瓣电影标签：爱情,"
                        W-两个世界
                        / W: Two Worlds / W - du gaeui segye
",2016,8.0,81693
豆瓣电影标签：爱情,"
                        迷失东京
                        / 爱情，不用翻译(台) / 迷语东京
",2003,7.7,127710
豆瓣电影标签：爱情,"
                        李米的猜想
                        / 爱失偿(港) / 李米的遭遇
",2008,7.7,159536
豆瓣电影标签：爱情,"
                        内在美
                        / 爱上变身情人(台) / 我的变身男友(港)
",2015,7.5,40158
